hospitalid,n,mean,p10,p25,p50,p75,p90,p95,p99,numbedscategory,teachingstatus,region
264,303341,12.7,0.0,0.0,0.0,0.0,51.0,76.0,153.0,>= 500,t,Midwest
249,11396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,f,Midwest
350,4814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,
345,37338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250 - 499,f,South
342,6961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,f,Midwest
337,23956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,
336,38311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 - 249,f,Midwest
331,37493,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,
328,11471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,f,Midwest
318,54968,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250 - 499,f,South
312,24649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 - 249,f,South
310,11568,22.6,0.0,0.0,0.0,38.0,69.0,92.0,150.0,100 - 249,f,Midwest
307,56271,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250 - 499,f,South
397,38904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 - 249,f,
303,9148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,
267,4929,6.0,0.0,0.0,0.0,0.0,23.0,40.0,72.3,<100,f,Midwest
266,14158,9.5,0.0,0.0,0.0,0.0,41.3,59.0,118.0,,f,Midwest
204,7793,0.3,0.0,0.0,0.0,0.0,0.0,1.0,8.0,100 - 249,f,Northeast
262,7263,4.9,0.0,0.0,0.0,0.0,23.0,39.0,78.4,<100,f,Midwest
259,58891,10.0,0.0,0.0,0.0,0.0,41.0,57.0,103.0,250 - 499,t,Midwest
258,14455,7.8,0.0,0.0,0.0,0.0,7.0,55.0,103.0,<100,f,Midwest
256,28434,17.8,0.0,0.0,0.0,25.0,55.0,76.0,154.0,100 - 249,f,Midwest
254,26658,8.6,0.0,0.0,0.0,0.0,0.0,38.0,272.0,,f,Midwest
253,27962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 - 249,f,Midwest
252,207341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,>= 500,t,Midwest
251,8757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,f,Midwest
250,7716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 - 249,f,Midwest
301,42782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 - 249,f,South
411,71040,4.2,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,f,West
248,110599,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 - 249,f,Midwest
423,10003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,f,Northeast
443,65097,3.8,0.0,0.0,0.0,0.0,0.0,0.0,177.0,>= 500,t,South
412,8452,8.5,0.0,0.0,0.0,0.0,0.0,0.0,346.0,<100,f,West
440,49301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250 - 499,f,South
421,33362,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,f,Northeast
428,16246,15.4,0.0,0.0,0.0,0.0,17.0,95.2,284.0,100 - 249,f,South
419,32299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250 - 499,f,Northeast
424,1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,f,Northeast
413,68563,6.6,0.0,0.0,0.0,0.0,0.0,0.0,201.0,,f,West
420,47474,0.8,0.0,0.0,0.0,0.0,0.0,0.0,17.0,>= 500,t,Northeast
425,10128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 - 249,f,Northeast
133,1119,78.7,0.0,1.0,2.0,9.0,314.0,427.0,1140.0,,f,South
112,2189,83.9,0.0,1.0,2.0,12.0,321.0,499.0,1085.0,250 - 499,f,South
123,1135,49.9,0.0,1.0,2.0,15.0,185.0,319.2,479.0,100 - 249,f,South
300,116624,30.7,0.0,0.0,11.0,51.0,75.0,94.0,197.0,>= 500,t,Midwest
360,17381,26.4,3.0,13.0,24.0,33.0,46.0,59.0,110.0,100 - 249,f,Midwest
363,1997,36.6,11.0,17.0,24.0,37.0,61.0,100.4,305.1,<100,f,Midwest
416,160551,41.8,6.0,14.0,24.0,35.0,60.0,110.0,454.0,>= 500,t,Midwest
96,1064,44.5,12.0,16.0,25.0,45.0,85.0,160.0,355.0,,f,
355,3073,31.9,7.0,18.0,26.0,40.0,54.8,71.0,120.0,<100,f,Midwest
79,70327,36.4,11.0,19.0,27.0,36.0,50.4,78.0,276.7,>= 500,f,Midwest
71,32031,36.1,10.0,18.0,27.0,38.0,55.0,81.0,255.0,100 - 249,f,Midwest
357,16653,30.6,7.0,15.0,27.0,35.0,49.0,63.0,161.0,,f,Midwest
