specimen,n,mean,p10,p25,p50,p75,p90,p95,p99,p50_h,p90_h,p99_h
Influenza A/B by DFA,1123,879.2,180.0,263.5,528.0,1023.5,1517.2,3524.0,5011.0,8.8,25.3,83.5
STOOL,9796,1752.1,357.0,663.0,1183.0,2611.0,3425.5,4092.0,7955.1,19.7,57.1,132.6
SEROLOGY/BLOOD,2368,2439.6,499.7,983.8,1798.5,3387.5,4920.1,6343.4,9989.0,30.0,82.0,166.5
Rapid Respiratory Viral Screen & Culture,3913,2726.5,316.0,965.0,2328.0,4139.0,5826.8,6914.4,8468.9,38.8,97.1,141.1
URINE,59690,2986.8,1479.0,1782.0,2535.0,3769.0,5138.0,6255.0,8434.0,42.2,85.6,140.6
IMMUNOLOGY,743,3370.6,1370.2,1866.0,2949.0,4636.0,5958.8,6627.9,8089.7,49.2,99.3,134.8
BRONCHIAL WASHINGS,2332,4092.1,232.0,1236.8,2988.0,5218.0,9306.0,10868.3,19917.8,49.8,155.1,332.0
Blood (CMV AB),907,3132.8,872.0,1712.5,3027.0,4408.0,5421.0,6223.0,6967.8,50.4,90.4,116.1
CATHETER TIP-IV,2793,3651.8,2400.2,2588.0,3035.0,4123.0,5475.0,6568.0,11366.0,50.6,91.2,189.4
BRONCHOALVEOLAR LAVAGE,12245,4001.0,241.0,1306.0,3061.0,5381.0,8705.0,10048.0,19856.0,51.0,145.1,330.9
SPUTUM,49927,3447.4,193.0,362.5,3265.0,4859.0,6993.0,9060.4,13805.0,54.4,116.6,230.1
MRSA SCREEN,32850,3430.0,2613.0,2982.0,3402.0,3760.0,4024.0,4608.6,6536.0,56.7,67.1,108.9
Blood (EBV),1465,3632.1,1197.0,2024.0,3539.0,4961.0,6232.0,6733.0,9190.0,59.0,103.9,153.2
CSF;SPINAL FLUID,4222,3586.1,145.0,204.0,3724.5,5603.5,8956.0,10509.0,13824.1,62.1,149.3,230.4
Mini-BAL,4466,3922.4,249.0,2365.5,3807.5,5174.0,7182.0,9835.0,17447.0,63.5,119.7,290.8
Staph aureus swab,967,3949.9,2421.6,2827.0,4020.0,5086.0,5489.0,5648.0,6387.0,67.0,91.5,106.4
PLEURAL FLUID,3529,4528.8,214.8,441.0,4250.0,8329.0,8765.0,9403.6,12785.4,70.8,146.1,213.1
JOINT FLUID,655,4792.8,208.4,1229.5,4379.0,7305.0,8953.0,9021.0,19726.5,73.0,149.2,328.8
"FLUID,OTHER",2974,5339.8,259.3,1437.0,4465.0,8353.0,10910.0,13481.0,19982.0,74.4,181.8,333.0
SWAB,9400,4729.5,275.0,2613.8,4614.0,6245.0,8634.1,9846.0,16512.0,76.9,143.9,275.2
PERITONEAL FLUID,3881,5266.7,222.0,3056.0,4817.0,8376.0,9202.0,11678.0,19630.0,80.3,153.4,327.2
"URINE,KIDNEY",729,6093.6,3672.8,4387.0,5041.0,7630.0,10269.0,10886.0,16610.5,84.0,171.2,276.8
TISSUE,7142,5664.1,325.0,2677.5,5310.0,8417.0,9838.0,12481.0,19850.9,88.5,164.0,330.8
ABSCESS,3122,5734.0,376.0,4072.0,5500.5,7335.0,9253.8,11754.4,18780.1,91.7,154.2,313.0
BILE,1814,5812.4,349.6,4268.0,5668.0,7203.0,8965.0,12359.0,13259.0,94.5,149.4,221.0
FLUID RECEIVED IN BLOOD CULTURE BOTTLES,1387,7240.3,3482.0,5600.0,8089.0,8422.0,9526.4,10436.7,17103.0,134.8,158.8,285.0
BLOOD CULTURE,81776,7712.2,4431.5,7474.8,8241.0,8784.0,9074.0,9264.2,12228.2,137.4,151.2,203.8
