scoring_hour,n_drawn,n_visible,visible_pct,stratum
1,263217,93685,35.59,all
1,68679,64006,93.2,poc
1,188323,28937,15.37,core
1,6215,742,11.94,send
2,485188,316618,65.26,all
2,136287,132482,97.21,poc
2,337650,179531,53.17,core
2,11251,4605,40.93,send
3,661749,525329,79.38,all
3,192250,188785,98.2,poc
3,454584,327387,72.02,core
3,14915,9157,61.39,send
4,812222,696787,85.79,all
4,239389,236590,98.83,poc
4,554831,447273,80.61,core
4,18002,12924,71.79,send
5,944729,840614,88.98,all
5,280050,277810,99.2,poc
5,644013,546823,84.91,core
5,20666,15981,77.33,send
6,1062185,966697,91.01,all
6,315242,313161,99.34,poc
6,723970,634833,87.69,core
6,22973,18703,81.41,send
7,1175043,1080911,91.99,all
7,347235,345380,99.47,poc
7,802722,714527,89.01,core
7,25086,21004,83.73,send
8,1285456,1189370,92.53,all
8,375393,373760,99.56,poc
8,882913,792522,89.76,core
8,27150,23088,85.04,send
9,1392545,1296664,93.11,all
9,400898,399368,99.62,poc
9,962553,872110,90.6,core
9,29094,25186,86.57,send
10,1489023,1399194,93.97,all
10,422794,421428,99.68,poc
10,1035444,950614,91.81,core
10,30785,27152,88.2,send
11,1580090,1495192,94.63,all
11,443374,442017,99.69,poc
11,1104353,1024281,92.75,core
11,32363,28894,89.28,send
12,1667371,1583634,94.98,all
12,461610,460358,99.73,poc
12,1171913,1092745,93.24,core
12,33848,30531,90.2,send
13,1748477,1669213,95.47,all
13,478690,477589,99.77,poc
13,1234598,1159507,93.92,core
13,35189,32117,91.27,send
14,1824568,1750394,95.93,all
14,493915,492939,99.8,poc
14,1294214,1223888,94.57,core
14,36439,33567,92.12,send
15,1898979,1827483,96.24,all
15,508571,507630,99.81,poc
15,1352753,1284945,94.99,core
15,37655,34908,92.7,send
16,1977903,1902945,96.21,all
16,522813,521776,99.8,poc
16,1416383,1344979,94.96,core
16,38707,36190,93.5,send
17,2058941,1983313,96.33,all
17,537000,536174,99.85,poc
17,1482221,1409735,95.11,core
17,39720,37404,94.17,send
18,2132898,2063437,96.74,all
18,551235,550353,99.84,poc
18,1540964,1474540,95.69,core
18,40699,38544,94.71,send
19,2190384,2135030,97.47,all
19,563365,562602,99.86,poc
19,1585409,1532856,96.69,core
19,41610,39572,95.1,send
20,2241251,2193512,97.87,all
20,574798,574043,99.87,poc
20,1624047,1578869,97.22,core
20,42406,40600,95.74,send
21,2291126,2245274,98.0,all
21,585644,584883,99.87,poc
21,1662311,1618856,97.39,core
21,43171,41535,96.21,send
22,2338424,2294381,98.12,all
22,596032,595391,99.89,poc
22,1698587,1656636,97.53,core
22,43805,42354,96.69,send
23,2386068,2342376,98.17,all
23,605946,605265,99.89,poc
23,1735659,1694004,97.6,core
23,44463,43107,96.95,send
24,2434381,2389893,98.17,all
24,615531,614880,99.89,poc
24,1773743,1731245,97.6,core
24,45107,43768,97.03,send
25,2483803,2437752,98.15,all
25,624963,624355,99.9,poc
25,1813079,1768912,97.56,core
25,45761,44485,97.21,send
26,2533155,2486691,98.17,all
26,633803,633228,99.91,poc
26,1853042,1808350,97.59,core
26,46310,45113,97.42,send
27,2585562,2537184,98.13,all
27,642924,642372,99.91,poc
27,1895769,1849095,97.54,core
27,46869,45717,97.54,send
28,2637878,2587393,98.09,all
28,651208,650639,99.91,poc
28,1939241,1890469,97.48,core
28,47429,46285,97.59,send
29,2690163,2639013,98.1,all
29,658685,658170,99.92,poc
29,1983518,1933980,97.5,core
29,47960,46863,97.71,send
30,2740478,2690727,98.18,all
30,666316,665931,99.94,poc
30,2025727,1977410,97.61,core
30,48435,47386,97.83,send
31,2789823,2741820,98.28,all
31,673877,673427,99.93,poc
31,2066970,2020487,97.75,core
31,48976,47906,97.82,send
32,2838753,2789713,98.27,all
32,680622,680258,99.95,poc
32,2108696,2061031,97.74,core
32,49435,48424,97.95,send
33,2886745,2838833,98.34,all
33,687590,687129,99.93,poc
33,2149268,2102809,97.84,core
33,49887,48895,98.01,send
34,2931618,2886286,98.45,all
34,694409,694009,99.94,poc
34,2186890,2142943,97.99,core
34,50319,49334,98.04,send
35,2973198,2930513,98.56,all
35,700818,700471,99.95,poc
35,2221649,2180272,98.14,core
35,50731,49770,98.11,send
36,3013925,2972011,98.61,all
36,707237,706866,99.95,poc
36,2255565,2214968,98.2,core
36,51123,50177,98.15,send
37,3054229,3013000,98.65,all
37,713394,712963,99.94,poc
37,2289337,2249447,98.26,core
37,51498,50590,98.24,send
38,3093983,3053184,98.68,all
38,719577,719170,99.94,poc
38,2322540,2283008,98.3,core
38,51866,51006,98.34,send
39,3131158,3093670,98.8,all
39,725671,725321,99.95,poc
39,2353305,2316939,98.45,core
39,52182,51410,98.52,send
40,3170896,3132010,98.77,all
40,731705,731395,99.96,poc
40,2386673,2348871,98.42,core
40,52518,51744,98.53,send
41,3211633,3171790,98.76,all
41,737906,737477,99.94,poc
41,2420872,2382223,98.4,core
41,52855,52090,98.55,send
42,3247992,3211756,98.88,all
42,744182,743746,99.94,poc
42,2450647,2415573,98.57,core
42,53163,52437,98.63,send
43,3277721,3248217,99.1,all
43,749735,749352,99.95,poc
43,2474559,2446050,98.85,core
43,53427,52815,98.85,send
44,3305142,3278960,99.21,all
44,755411,755104,99.96,poc
44,2496017,2470781,98.99,core
44,53714,53075,98.81,send
45,3330387,3306471,99.28,all
45,760619,760288,99.96,poc
45,2515793,2492801,99.09,core
45,53975,53382,98.9,send
46,3356825,3332311,99.27,all
46,765966,765642,99.96,poc
46,2536641,2512981,99.07,core
46,54218,53688,99.02,send
47,3381877,3358277,99.3,all
47,771000,770692,99.96,poc
47,2556412,2533625,99.11,core
47,54465,53960,99.07,send
48,3408916,3384495,99.28,all
48,776341,776039,99.96,poc
48,2577865,2554235,99.08,core
48,54710,54221,99.11,send
