scoring_hour,analyte,stays,absent_pct,differs_pct,discordant_pct
6,bicarbonate,34556,10.68,4.31,14.99
6,creatinine,34691,10.68,3.63,14.31
6,hemoglobin,34508,4.58,5.82,10.4
6,lactate,21935,0.26,0.98,1.24
6,platelet,34048,5.43,4.33,9.76
6,potassium,32349,10.77,5.69,16.46
6,urea_nitrogen,34640,10.61,4.12,14.73
6,wbc,33833,5.33,3.96,9.29
12,bicarbonate,43520,3.02,6.44,9.46
12,creatinine,43634,2.99,5.71,8.7
12,hemoglobin,42576,2.03,4.95,6.98
12,lactate,24628,0.1,0.65,0.75
12,platelet,42543,2.08,4.47,6.55
12,potassium,42740,3.43,8.13,11.56
12,urea_nitrogen,43596,3.0,6.58,9.58
12,wbc,42396,2.12,4.25,6.37
24,bicarbonate,47571,0.31,4.3,4.61
24,creatinine,47584,0.3,3.81,4.11
24,hemoglobin,47283,0.26,3.17,3.43
24,lactate,26358,0.01,0.37,0.38
24,platelet,47277,0.27,2.76,3.03
24,potassium,47571,0.29,5.35,5.64
24,urea_nitrogen,47564,0.3,4.46,4.76
24,wbc,47264,0.27,2.62,2.89
48,bicarbonate,47896,0.01,2.57,2.58
48,creatinine,47903,0.01,2.22,2.23
48,hemoglobin,47731,0.01,1.87,1.88
48,lactate,27348,0.0,0.21,0.21
48,platelet,47726,0.01,1.57,1.58
48,potassium,47913,0.01,3.12,3.13
48,urea_nitrogen,47889,0.01,2.65,2.66
48,wbc,47719,0.01,1.52,1.53
