analyte,"hours with a value, obs clock %","hours with a value, avail clock %",value absent under avail clock %,value differs %,median staleness obs (h),median staleness avail (h),discordant %
glucose,97.19,96.51,0.68,8.25,7.51,8.44,8.93
potassium,96.5,95.69,0.82,6.94,7.28,8.24,7.76
sodium,96.47,95.65,0.82,6.47,7.27,8.22,7.29
chloride,96.47,95.65,0.82,6.35,7.37,8.32,7.17
urea_nitrogen,96.9,96.17,0.73,6.19,7.58,8.52,6.92
anion_gap,96.32,95.47,0.85,6.16,7.57,8.52,7.01
bicarbonate,96.36,95.52,0.84,5.96,7.57,8.5,6.8
creatinine,96.9,96.16,0.74,5.04,7.55,8.5,5.78
hemoglobin,96.85,96.4,0.45,4.4,8.1,8.65,4.85
platelet,96.58,96.08,0.5,4.01,8.17,8.73,4.51
wbc,96.54,96.04,0.5,3.89,8.26,8.81,4.39
inr,85.24,84.47,0.78,2.09,10.59,11.2,2.87
bilirubin_total,50.06,48.85,1.21,1.46,13.75,14.64,2.67
lactate,53.13,53.11,0.02,0.11,15.51,15.52,0.13
ph,44.37,44.35,0.02,0.11,13.02,13.04,0.13
po2,40.7,40.69,0.02,0.1,13.63,13.65,0.12
pco2,40.7,40.69,0.02,0.09,13.63,13.65,0.11
base_excess,40.71,40.69,0.02,0.08,13.63,13.65,0.1
