cohort,hours,n,events,AUROC obs clock,AUROC avail clock,gap
MIMIC-IV test,1-6,6098,470,0.8478,0.8484,-0.0006
MIMIC-IV test,7-12,34941,1440,0.7973,0.7953,0.002
MIMIC-IV test,13-24,60076,1527,0.8114,0.8092,0.0022
MIMIC-IV test,25-36,44700,801,0.8095,0.8086,0.0008
MIMIC-IV test,37-48,34324,582,0.8091,0.8027,0.0064
eICU-CRD external,1-6,67167,2913,0.7026,0.6993,0.0033
eICU-CRD external,7-12,395212,12175,0.7065,0.7023,0.0042
eICU-CRD external,13-24,665357,13506,0.6991,0.6898,0.0093
eICU-CRD external,25-36,445636,6333,0.7039,0.6961,0.0078
eICU-CRD external,37-48,318938,4207,0.6933,0.6874,0.0059
