model,iterations,validation_auroc
observation-clock,25,0.77942
observation-clock,50,0.7894
observation-clock,75,0.7921
observation-clock,100,0.79237
observation-clock,125,0.79226
observation-clock,150,0.79367
observation-clock,175,0.79341
observation-clock,200,0.79194
observation-clock,225,0.79154
observation-clock,250,0.79157
observation-clock,275,0.79055
availability-clock,25,0.78023
availability-clock,50,0.78762
availability-clock,75,0.79063
availability-clock,100,0.79143
availability-clock,125,0.79171
availability-clock,150,0.79115
availability-clock,175,0.79132
availability-clock,200,0.79087
availability-clock,225,0.7907
availability-clock,250,0.79019
