cohort,budget,"alerts per 100 bed-days, obs","alerts per 100 bed-days, avail",detection rate obs (%),detection rate avail (%),detection lost (pp),median lead obs (h),median lead avail (h),median lead lost (h),NNA obs
MIMIC-IV test,5,5.04,5.21,34.24,34.36,-0.118,1.41,1.43,0.0,1.3
MIMIC-IV test,10,10.07,10.43,45.34,45.57,-0.236,1.78,1.78,0.0,2.0
MIMIC-IV test,20,19.68,20.46,56.2,56.55,-0.354,2.27,2.27,0.0,3.1
MIMIC-IV test,40,40.12,40.64,66.12,65.76,0.354,2.88,2.85,0.0,5.4
MIMIC-IV test,80,79.02,78.53,73.79,73.44,0.354,3.4,3.38,0.0,9.5
eICU-CRD external,5,5.09,4.96,11.67,11.1,0.564,4.5,4.7,0.0,5.9
eICU-CRD external,10,9.99,9.68,18.7,17.89,0.804,5.07,5.28,0.0,7.2
eICU-CRD external,20,20.03,19.44,29.27,28.1,1.163,5.85,5.85,0.0,9.2
eICU-CRD external,40,39.89,38.95,41.34,39.99,1.351,6.52,6.49,0.0,13.0
eICU-CRD external,80,78.78,77.33,54.55,53.59,0.958,7.48,7.42,0.0,19.5
