cohort,threshold_probability,treat_all,treat_none,model_obs,model_avail,nb_lost
MIMIC-IV test,0.005,0.021866,0.0,0.02188,0.021866,1.4e-05
MIMIC-IV test,0.01,0.016926,0.0,0.018657,0.018679,-2.2e-05
MIMIC-IV test,0.015,0.011936,0.0,0.016562,0.016508,5.3e-05
MIMIC-IV test,0.02,0.006895,0.0,0.014675,0.014673,2e-06
MIMIC-IV test,0.025,0.001802,0.0,0.013503,0.013432,7.2e-05
MIMIC-IV test,0.03,-0.003343,0.0,0.012541,0.012439,0.000101
MIMIC-IV test,0.035,-0.008542,0.0,0.011583,0.011466,0.000117
MIMIC-IV test,0.04,-0.013795,0.0,0.010728,0.010647,8.1e-05
MIMIC-IV test,0.045,-0.019102,0.0,0.010152,0.010094,5.9e-05
MIMIC-IV test,0.05,-0.024466,0.0,0.009688,0.00963,5.8e-05
MIMIC-IV test,0.055,-0.029887,0.0,0.009164,0.009113,5.1e-05
MIMIC-IV test,0.06,-0.035365,0.0,0.008873,0.008744,0.000129
MIMIC-IV test,0.065,-0.040901,0.0,0.008524,0.008331,0.000193
MIMIC-IV test,0.07,-0.046498,0.0,0.008157,0.008033,0.000124
MIMIC-IV test,0.075,-0.052154,0.0,0.007792,0.007668,0.000125
MIMIC-IV test,0.08,-0.057873,0.0,0.007597,0.00744,0.000157
MIMIC-IV test,0.085,-0.063653,0.0,0.007323,0.007182,0.000141
MIMIC-IV test,0.09,-0.069498,0.0,0.007119,0.007012,0.000107
MIMIC-IV test,0.095,-0.075407,0.0,0.006973,0.006833,0.00014
MIMIC-IV test,0.1,-0.081381,0.0,0.006847,0.00671,0.000136
eICU-CRD external,0.005,0.015759,0.0,0.015761,0.015761,-0.0
eICU-CRD external,0.01,0.010788,0.0,0.010979,0.010988,-9e-06
eICU-CRD external,0.015,0.005767,0.0,0.006907,0.006884,2.3e-05
eICU-CRD external,0.02,0.000694,0.0,0.003705,0.003666,4e-05
eICU-CRD external,0.025,-0.00443,0.0,0.00143,0.001377,5.3e-05
eICU-CRD external,0.03,-0.009608,0.0,-0.000104,-0.000157,5.2e-05
eICU-CRD external,0.035,-0.014839,0.0,-0.001163,-0.001234,7e-05
eICU-CRD external,0.04,-0.020124,0.0,-0.00186,-0.001973,0.000113
eICU-CRD external,0.045,-0.025465,0.0,-0.002277,-0.0024,0.000123
eICU-CRD external,0.05,-0.030863,0.0,-0.002499,-0.00262,0.000121
eICU-CRD external,0.055,-0.036317,0.0,-0.00267,-0.002772,0.000102
eICU-CRD external,0.06,-0.041829,0.0,-0.002754,-0.002845,9.1e-05
eICU-CRD external,0.065,-0.0474,0.0,-0.002829,-0.002911,8.2e-05
eICU-CRD external,0.07,-0.053032,0.0,-0.002828,-0.002912,8.4e-05
eICU-CRD external,0.075,-0.058724,0.0,-0.002847,-0.002934,8.6e-05
eICU-CRD external,0.08,-0.064478,0.0,-0.002834,-0.002932,9.8e-05
eICU-CRD external,0.085,-0.070294,0.0,-0.002804,-0.002906,0.000102
eICU-CRD external,0.09,-0.076175,0.0,-0.002807,-0.002903,9.6e-05
eICU-CRD external,0.095,-0.082121,0.0,-0.002779,-0.002894,0.000114
eICU-CRD external,0.1,-0.088133,0.0,-0.002754,-0.002862,0.000108
