scoring_hour,cultures_collected,results_available,available_pct
1,16765,0,0.0
2,30920,12,0.04
3,41613,115,0.28
4,50703,381,0.75
5,57805,755,1.31
6,63680,1260,1.98
7,68463,1825,2.67
8,72844,2398,3.29
9,76419,3026,3.96
10,79516,3625,4.56
11,82808,4222,5.1
12,85658,4853,5.67
13,88772,5485,6.18
14,91573,6095,6.66
15,94467,6742,7.14
16,97118,7312,7.53
17,99636,7928,7.96
18,102105,8607,8.43
19,104437,9208,8.82
20,106702,9835,9.22
21,108699,10442,9.61
22,110790,11028,9.95
23,112633,11616,10.31
24,114334,12172,10.65
25,115957,12781,11.02
26,117481,13453,11.45
27,118977,14076,11.83
28,120261,14684,12.21
29,121626,15352,12.62
30,123062,16028,13.02
31,124401,16680,13.41
32,125803,17394,13.83
33,127074,18200,14.32
34,128296,19025,14.83
35,129519,19839,15.32
36,130792,20772,15.88
37,131983,21699,16.44
38,133324,22653,16.99
39,134514,23702,17.62
40,135847,24705,18.19
41,137181,25812,18.82
42,138582,26838,19.37
43,139718,27897,19.97
44,141029,29022,20.58
45,142444,30320,21.29
46,143785,31829,22.14
47,144949,33379,23.03
48,146042,34610,23.7
