turnaround_class,analyte,n,mean,p10,p25,p50,p75,p90,p95,p99,db
poc,base_excess,262499,3.5,1.0,2.0,3.0,4.0,5.0,7.0,18.0,MIMIC-IV
poc,glucose,112676,4.5,2.0,2.0,3.0,4.0,6.0,8.0,18.0,MIMIC-IV
poc,hemoglobin,57778,5.4,2.0,2.0,3.0,5.0,7.0,8.0,23.0,MIMIC-IV
poc,lactate,172679,4.7,2.0,2.0,3.0,4.0,6.0,9.0,26.0,MIMIC-IV
poc,pco2,262456,3.5,1.0,2.0,3.0,4.0,5.0,7.0,18.0,MIMIC-IV
poc,ph,287651,3.5,1.0,2.0,3.0,4.0,5.0,7.0,17.0,MIMIC-IV
poc,po2,262575,3.5,1.0,2.0,3.0,4.0,5.0,7.0,18.0,MIMIC-IV
core,hematocrit,303188,40.5,17.0,24.0,34.0,49.0,69.0,87.0,141.0,MIMIC-IV
core,hemoglobin,269290,41.4,17.0,24.0,35.0,49.0,70.0,89.0,149.0,MIMIC-IV
core,wbc,265225,42.3,17.0,25.0,35.0,50.0,73.0,93.0,157.0,MIMIC-IV
core,platelet,270672,43.0,17.0,25.0,36.0,51.0,75.0,96.0,159.0,MIMIC-IV
core,inr,188638,59.7,32.0,41.0,53.0,70.0,93.0,113.0,173.0,MIMIC-IV
core,pt,188632,59.7,32.0,41.0,53.0,70.0,93.0,113.0,173.0,MIMIC-IV
core,ptt,201607,59.9,32.0,41.0,53.0,70.0,93.0,113.0,173.0,MIMIC-IV
core,chloride,302152,72.8,45.0,53.0,65.0,83.0,106.0,127.0,193.0,MIMIC-IV
core,creatinine,290544,72.9,45.0,53.0,65.0,83.0,107.0,128.0,195.0,MIMIC-IV
core,glucose,278157,72.8,45.0,54.0,65.0,82.0,106.0,126.0,191.0,MIMIC-IV
core,potassium,307960,72.8,45.0,53.0,65.0,83.0,106.0,127.0,193.0,MIMIC-IV
core,urea_nitrogen,289712,72.3,45.0,53.0,65.0,82.0,105.0,126.0,191.0,MIMIC-IV
core,anion_gap,284088,74.1,46.0,54.0,66.0,84.0,108.0,130.0,197.0,MIMIC-IV
core,bicarbonate,285981,73.4,45.0,54.0,66.0,83.0,107.0,128.0,194.0,MIMIC-IV
core,calcium_total,249439,74.6,46.0,54.0,66.0,84.0,108.0,131.0,211.0,MIMIC-IV
core,magnesium,267656,74.6,46.0,54.0,66.0,83.0,108.0,131.0,218.0,MIMIC-IV
core,phosphate,250919,74.9,46.0,54.0,66.0,84.0,109.0,131.0,213.0,MIMIC-IV
core,sodium,306462,73.1,45.0,53.0,66.0,83.0,107.0,128.0,193.0,MIMIC-IV
core,bilirubin_total,76307,112.2,48.0,57.0,71.0,98.0,203.4,401.0,705.0,MIMIC-IV
core,albumin,41588,126.7,47.0,57.0,72.0,108.0,292.0,484.0,766.0,MIMIC-IV
core,ast,76251,111.3,48.0,57.0,72.0,99.0,193.0,383.0,692.0,MIMIC-IV
core,alt,76314,111.7,48.0,58.0,73.0,100.0,193.0,383.0,693.0,MIMIC-IV
send,fibrinogen,35310,60.6,25.0,34.0,48.0,69.0,101.0,139.0,278.0,MIMIC-IV
send,troponin_t,47010,127.6,53.0,65.0,87.0,130.8,243.0,375.0,685.9,MIMIC-IV
send,bnp,4701,238.7,57.0,77.0,134.0,303.0,584.0,742.0,1245.0,MIMIC-IV
send,crp,2230,331.4,77.0,108.0,213.0,505.0,719.2,901.1,1236.1,MIMIC-IV
poc,base_excess,191020,26.3,0.0,0.0,3.0,12.0,26.0,70.0,749.0,eICU-CRD
poc,pco2,248609,24.4,0.0,0.0,4.0,12.0,27.0,80.0,527.0,eICU-CRD
poc,po2,251327,24.5,0.0,0.0,4.0,12.0,27.0,78.0,538.0,eICU-CRD
poc,ph,246156,25.2,0.0,0.0,5.0,12.0,27.0,82.0,551.5,eICU-CRD
poc,lactate,110602,34.5,0.0,0.0,26.0,43.0,63.0,84.0,303.0,eICU-CRD
core,hematocrit,487302,35.0,0.0,8.0,22.0,43.0,73.0,102.0,238.0,eICU-CRD
core,hemoglobin,499427,34.7,0.0,8.0,22.0,42.0,72.0,100.0,237.0,eICU-CRD
core,platelet,422607,34.1,0.0,10.0,24.0,45.0,74.0,100.0,190.0,eICU-CRD
core,wbc,414888,34.0,0.0,10.0,24.0,45.0,73.0,98.0,188.0,eICU-CRD
core,pt,149625,38.8,0.0,18.0,31.0,49.0,75.0,99.0,197.0,eICU-CRD
core,inr,154796,39.0,0.0,19.0,32.0,49.0,75.0,98.0,197.0,eICU-CRD
core,ptt,119743,37.8,0.0,18.0,32.0,49.0,75.0,98.0,185.0,eICU-CRD
core,potassium,584575,45.9,0.0,14.0,38.0,58.0,86.0,113.0,250.0,eICU-CRD
core,sodium,537832,46.3,0.0,10.0,39.0,59.0,87.0,114.0,253.0,eICU-CRD
core,anion_gap,366320,45.3,0.0,22.0,40.0,60.0,87.0,110.0,198.0,eICU-CRD
core,glucose,498558,46.3,0.0,19.0,40.0,60.0,87.0,112.0,227.0,eICU-CRD
core,bicarbonate,444303,47.2,0.0,26.0,41.0,60.0,86.0,109.0,215.0,eICU-CRD
core,chloride,476975,46.2,0.0,24.0,41.0,61.0,87.0,110.0,200.0,eICU-CRD
core,creatinine,468644,47.8,0.0,26.0,42.0,61.0,88.0,112.0,215.0,eICU-CRD
core,urea_nitrogen,466434,47.0,0.0,26.0,42.0,61.0,87.0,110.0,203.0,eICU-CRD
core,calcium_total,446776,48.8,0.0,28.0,43.0,62.0,88.0,112.0,210.0,eICU-CRD
core,magnesium,257547,56.7,0.0,28.0,44.0,66.0,104.0,154.0,361.0,eICU-CRD
core,bilirubin_total,168353,54.5,0.0,29.0,45.0,66.0,97.0,131.0,322.5,eICU-CRD
core,phosphate,160244,56.5,0.0,29.0,45.0,67.0,101.0,145.0,356.6,eICU-CRD
core,albumin,193410,55.1,0.0,30.0,46.0,67.0,98.0,132.0,319.9,eICU-CRD
core,alt,171614,55.1,0.0,30.0,46.0,67.0,98.0,132.0,323.0,eICU-CRD
core,ast,172693,55.1,0.0,30.0,46.0,67.0,98.0,132.0,323.0,eICU-CRD
send,troponin_t,20028,37.3,0.0,0.0,32.0,51.0,78.0,110.0,265.0,eICU-CRD
send,fibrinogen,22317,41.6,0.0,12.0,34.0,53.0,83.0,111.0,229.0,eICU-CRD
send,bnp,19973,80.7,31.0,40.0,53.0,81.0,148.0,257.0,495.3,eICU-CRD
send,crp,4244,159.2,24.0,40.0,62.0,139.0,477.7,698.7,1209.6,eICU-CRD
