draw_hour,n,mean,p10,p25,p50,p75,p90,p95,p99
0,226243,51.6,3.0,26.0,49.0,66.0,87.0,105.0,229.0
1,427802,58.4,7.0,37.0,53.0,70.0,92.0,113.0,233.0
2,718675,60.6,11.0,40.0,57.0,73.0,94.0,114.0,212.3
3,695070,63.9,18.0,42.0,59.0,77.0,99.0,119.0,229.0
4,590875,63.7,5.0,41.0,60.0,78.0,100.0,121.0,260.0
5,371415,64.8,4.0,40.0,60.0,80.0,109.0,139.0,269.0
6,243676,73.2,3.0,39.0,70.0,100.0,130.0,156.0,263.0
7,122837,62.0,2.0,4.0,61.0,91.0,123.0,149.0,253.0
8,126953,52.9,2.0,4.0,50.0,78.0,112.0,139.0,228.0
9,151351,46.0,2.0,3.0,41.0,72.0,101.0,125.0,211.5
10,175741,40.0,2.0,3.0,26.0,65.0,92.0,114.0,200.0
11,188677,42.1,2.0,3.0,34.0,66.0,91.0,113.0,201.0
12,217832,43.4,2.0,4.0,39.0,66.0,90.0,111.0,199.0
13,222744,47.0,2.0,4.0,45.0,69.0,94.0,115.0,201.0
14,258891,48.6,2.0,5.0,49.0,70.0,92.0,112.0,197.0
15,283801,47.6,2.0,7.0,48.0,66.0,87.0,108.0,192.0
16,272191,46.0,2.0,6.0,46.0,65.0,86.0,106.0,184.0
17,243630,46.0,2.0,6.0,46.0,65.0,86.0,107.0,187.7
18,191868,42.6,2.0,4.0,42.0,62.0,82.0,101.0,186.0
19,152665,47.0,2.0,9.0,45.0,65.0,89.0,112.0,208.0
20,188313,43.2,2.0,6.0,42.0,61.0,82.0,102.0,172.0
21,184237,42.5,2.0,6.0,43.0,60.0,79.0,97.0,177.0
22,175320,41.5,2.0,4.0,41.0,60.0,81.0,100.0,176.0
23,147540,46.8,2.0,6.0,47.0,66.0,87.0,105.0,174.6
